,article_id,Reference_paper_id,Reference _paper_doi,Reference _paper_title,Reference _paper_venue,Reference _paper_year,Intent,Is_influential
11,10.2196/18652,9ce0bee974bea64f025b45cdce75168f0b3c458d,10.1111/j.1752-7325.2012.00337.x,Dental care plan assessment using the CAHPS Dental Plan Survey.,Journal of public health dentistry,2012,,False
12,10.2196/18652,2ff214127442af47d3b1bafeed950a491fd6b951,10.1136/bmjqs-2012-001527,Harnessing the cloud of patient experience: using social media to detect poor quality healthcare,BMJ quality & safety,2013,,False
13,10.2196/18652,53e2f15842f0ed50f31f6aba7fb957c6cb8f4420,10.2196/jmir.2655,An Analysis of Online Evaluations on a Physician Rating Website: Evidence From a German Public Reporting Instrument,Journal of medical Internet research,2013,,False
14,10.2196/18652,bc0ddd3b3cd593007b1c2656b15a21af2f92942c,10.2196/jmir.2702,Physician Choice Making and Characteristics Associated With Using Physician-Rating Websites: Cross-Sectional Study,Journal of medical Internet research,2013,,False
15,10.2196/18652,fff7ad3e93360dced8dc5187d3f0cf60141778ea,10.1136/bmjopen-2012-001570,A systematic review of evidence on the links between patient experience and clinical safety and effectiveness,BMJ Open,2013,,False
16,10.2196/18652,2b1223cab2dd429f1da4640e8ab81e204767f49d,10.1001/jama.2013.283194,"Public awareness, perception, and use of online physician rating sites.",JAMA,2014,,False
17,10.2196/18652,4697d14f9c3ded5182fc8051f62b8ab0c315ac8c,10.1136/amiajnl-2014-002711,A large-scale quantitative analysis of latent factors and sentiment in online doctor reviews,J. Am. Medical Informatics Assoc.,2014,,False
18,10.2196/18652,e3a9262ffd20bc67992f2d3f8b8860a8103057cb,10.1177/1077558714541480,Examining the Role of Patient Experience Surveys in Measuring Health Care Quality,Medical care research and review : MCRR,2014,,False
19,10.2196/18652,09680393e9db29fe4199a190d25ed6b85b9bf4da,10.2196/jmir.3830,Evaluations of Dentists on a German Physician Rating Website: An Analysis of the Ratings,Journal of medical Internet research,2015,,False
20,10.2196/18652,0e725477123c0ad0b2bc268648c7c95aa99ef52f,10.2196/jmir.4365,The Development of Online Doctor Reviews in China: An Analysis of the Largest Online Doctor Review Website in China,Journal of medical Internet research,2015,,False
21,10.2196/18652,3f0156ee8291b96c68489b26e6b4a6495e481bfc,10.2196/jmir.4430,The Voice of Chinese Health Consumers: A Text Mining Approach to Web-Based Physician Reviews,Journal of medical Internet research,2016,,False
22,10.2196/18652,aab173d708aa451f1211a672d29c31305655aa3c,10.1007/s11420-016-9520-x,Rating a Sports Medicine Surgeon’s “Quality” in the Modern Era: an Analysis of Popular Physician Online Rating Websites,HSS Journal ®,2016,,False
23,10.2196/18652,b9a3a5466932c9b70a502bbc0a5f2647793218df,10.1377/hlthaff.2015.1030,Yelp Reviews Of Hospital Care Can Supplement And Inform Traditional Surveys Of The Patient Experience Of Care.,Health affairs,2016,,False
24,10.2196/18652,0c91e39931fc559f390169f7fb2a699557fc0258,10.1016/j.ijmedinf.2016.12.007,A tale of two countries: International comparison of online doctor reviews between China and the United States,Int. J. Medical Informatics,2017,,False
25,10.2196/18652,107ce447ab444e11daa4ad06097b80f63df36f36,10.1136/bmj.j1797,Physician age and outcomes in elderly patients in hospital in the US: observational study,British Medical Journal,2017,,False
26,10.2196/18652,88130255ee57a15f7345bdaa953da074efee29df,10.1001/jamainternmed.2016.7875,Comparison of Hospital Mortality and Readmission Rates for Medicare Patients Treated by Male vs Female Physicians,JAMA internal medicine,2017,,False
27,10.2196/18652,36253397aa75371896edf844b3e8e47cb6ffa7ff,10.1016/j.annemergmed.2018.09.029,Online Ratings of the Patient Experience: Emergency Departments Versus Urgent Care Centers.,Annals of emergency medicine,2019,,False
28,10.2196/18652,3fdbe82b102f75dee12d83dcc2ee7136922d787b,10.2196/12521,What Do Patients Say About Doctors Online? A Systematic Review of Studies on Patient Online Reviews,Journal of medical Internet research,2019,,False
29,10.2196/18652,54ce889142eabeb82c12e5696c2df87d07327438,10.1007/978-3-030-23525-3_66,Semantic Analysis of Online Dentist Review: Toward Assessing Safety and Quality of Dental Care,HCI,2019,,False
30,10.1055/s-0040-1709506,2146af38964397f3cc24177c5a93e35ad1ccb338,10.2105/AJPH.80.5.527,Quality assurance and computer-based patient records.,American journal of public health,1990,,False
31,10.1055/s-0040-1709506,33e67c842f6592db9bc139abcea245d416510011,10.1111/J.1752-7325.2006.TB02551.X,The relationship between cardiovascular xerogenic medication intake and the incidence of crown/root restorations.,Journal of public health dentistry,2006,,False
32,10.1055/s-0040-1709506,d001f012970e4ae58c599a5a19ebcb9257436596,10.1371/journal.pone.0000840,The Tell-Tale Heart: Population-Based Surveillance Reveals an Association of Rofecoxib and Celecoxib with Myocardial Infarction,PloS one,2007,,False
33,10.1055/s-0040-1709506,df50b4fe731f82a1d41c122d530b4b6d04ca419e,,IOM Roundtable on Evidence-Based Medicine,,2007,,False
34,10.1055/s-0040-1709506,0ac9d03854e0e7b86bd771e1f5249858a38578bc,,Dentists in practice-based research networks have much in common with dentists at large: evidence from the Dental Practice-Based Research Network.,General dentistry,2009,,False
35,10.1055/s-0040-1709506,136c0e34b00c402b60e98a3816a33af070ff830a,10.2341/08-131-C,How dentists diagnose and treat defective restorations: evidence from the dental practice-based research network.,Operative dentistry,2009,,False
36,10.1055/s-0040-1709506,17f2ccec236b88375356bb4750a35b05853f462c,,Restorative treatment thresholds for interproximal primary caries based on radiographic images: findings from the Dental Practice-Based Research Network.,General dentistry,2009,,False
37,10.1055/s-0040-1709506,eaae8da5807738fc01ddc9f79dc0401aa482fc95,10.1186/1472-6831-9-26,Practices participating in a dental PBRN have substantial and advantageous diversity even though as a group they have much in common with dentists at large,BMC oral health,2009,,False
38,10.1055/s-0040-1709506,3c39dc19fca334de6e8acc037fa4ae0b172a85fd,10.1177/0022034510376071,12-year Survival of Composite vs. Amalgam Restorations,Journal of dental research,2010,,False
39,10.1055/s-0040-1709506,58762fe20148a34ff432c52141acaf3f47fbcf45,,Outcomes of root canal treatment in Dental Practice-Based Research Network practices.,General dentistry,2010,,False
40,10.1055/s-0040-1709506,9f004ac20accae40805d7a32b11210466127b55c,10.1177/0022034510387795,ONJ in Two Dental Practice-Based Research Network Regions,Journal of dental research,2011,,False
41,10.1055/s-0040-1709506,b8bc667bf696102d922cb47d8d88c14f1af01fde,10.1038/nrg2999,Using electronic health records to drive discovery in disease genomics,Nature Reviews Genetics,2011,,False
42,10.1055/s-0040-1709506,12cb1a709dfa940772380511a12bcee642cadcce,10.1136/amiajnl-2013-002230,BigMouth: a multi-institutional dental data repository,AMIA,2014,,False
43,10.1055/s-0040-1709506,55cb1f90c3c2e77b319a24eca1e3180113b1e845,10.1016/j.jbi.2013.06.010,Defining and measuring completeness of electronic health records for secondary use,J. Biomed. Informatics,2013,,False
44,10.1055/s-0040-1709506,b8e7b663a2afe031a9312ef0152cdde2a1fe9966,10.1016/j.jdent.2013.04.002,"Purpose, structure, and function of the United States National Dental Practice-Based Research Network.",Journal of dentistry,2013,,False
45,10.1055/s-0040-1709506,d89d7d36b0c94c4d031d3b732bd6809c48fc94f1,10.1093/aje/kws293,Regional Epidemiologic Assessment of Prevalent Periodontitis Using an Electronic Health Record System,American journal of epidemiology,2013,,False
46,10.1055/s-0040-1709506,203727e0e5532669d9ef8f44f404a3c77d4b6055,10.14219/jada.2013.21,Concordance between clinical practice and published evidence: findings from The National Dental Practice-Based Research Network.,Journal of the American Dental Association,2014,,False
47,10.1055/s-0040-1709506,5b3371c5e9ad4e982cc036fd3e2aeede04b526ae,10.1186/s13012-014-0177-x,Practice change toward better adherence to evidence-based treatment of early dental decay in the National Dental PBRN,Implementation Science,2014,,False
48,10.1055/s-0040-1709506,5df75b060a167052072c688b9c4770ff179bd382,10.1136/bmjopen-2015-009779,Discordance between presumed standard of care and actual clinical practice: the example of rubber dam use during root canal treatment in the National Dental Practice-Based Research Network,BMJ Open,2015,,False
49,10.1055/s-0040-1709506,947c0016d6aaa4123b31a049ab4e4b43acefe090,10.1016/j.ijmedinf.2015.06.011,Problem list completeness in electronic health records: A multi-site study and assessment of success factors,Int. J. Medical Informatics,2015,,False
50,10.1055/s-0040-1709506,e3f3b2fc5236780e85a8a31ecd5b45ea1d522827,10.1016/j.adaj.2015.05.017,Repair or replacement of restorations: A prospective cohort study by dentists in The National Dental Practice-Based Research Network.,Journal of the American Dental Association,2015,,False
51,10.1055/s-0040-1709506,c7fcf7786d5b757b73f18cc722adf2d6cff697ce,10.1016/j.jdent.2016.01.002,Longevity of direct restorations in Dutch dental practices. Descriptive study out of a practice based research network.,Journal of dentistry,2016,,False
52,10.1055/s-0040-1709506,08da8b3fc4156505a970415717fc9cd176ed9184,10.3290/j.qi.a38907,"Implant and endodontic treatment selection are influenced by patients' demographic characteristics, insurance status, and medical history: A retrospective cohort study.",Quintessence international,2017,,False
53,10.1055/s-0040-1709506,7d54ce102b510f5429df9b46930af6a86fa33651,10.5334/egems.218,A Data Quality Assessment Guideline for Electronic Health Record Data Reuse,EGEMS,2017,,False
54,10.1055/s-0040-1709506,9161af6166044dc1df56fa522e030bccfbfe92a9,10.1016/j.jdent.2017.05.012,Longevity of 2- and 3-surface restorations in posterior teeth of 25- to 30-year-olds attending Public Dental Service-A 13-year observation.,Journal of dentistry,2017,,False
55,10.1055/s-0040-1709506,c6d5b537387e782a942b6d630adfb86525e97b1e,10.3233/978-1-61499-830-3-1166,Characterizing Restorative Dental Treatments of Sjögren's Syndrome Patients Using Electronic Dental Records Data,MedInfo,2017,,False
56,10.1055/s-0040-1709506,d2d187561197737f2e8e7bddca8ad1c77e8c19d8,10.1111/cid.12455,Proton Pump Inhibitors and the Risk of Osseointegrated Dental Implant Failure: A Cohort Study,Clinical implant dentistry and related research,2017,,False
57,10.1055/s-0040-1709506,24e5b0963cfc1d2f2405df2d751cee41d7e7e266,10.2196/jmir.9134,Possible Sources of Bias in Primary Care Electronic Health Record Data Use and Reuse,Journal of medical Internet research,2018,,False
58,10.1055/s-0040-1709506,34a6db3104e987fea25a2799823db591e25eb061,10.1016/j.drudis.2017.12.002,Real world big data for clinical research and drug development.,Drug discovery today,2017,,False
59,10.1055/s-0040-1709506,76893c67b70c5e5c26abf9a4d5b74b804ad3472a,10.1016/j.adaj.2018.05.001,Assessing the validity of existing dental sealant quality measures.,Journal of the American Dental Association,2018,,False
60,10.1055/s-0040-1709506,14cd081aded60ca10e386616b5688b82df57479a,10.21815/JDE.019.070,Analyzing Medication Documentation in Electronic Health Records: Dental Students' Self-Reported Behaviors and Charting Practices.,Journal of dental education,2019,,False
61,10.1055/s-0040-1709506,d0cdab899183114b33a86b866565d7351468073f,10.2196/13008,Completeness of Electronic Dental Records in a Student Clinic: Retrospective Analysis,JMIR medical informatics,2019,,False
62,10.1055/s-0040-1709506,df01ed215e69d9d24d213816db61db1499a1349e,10.2105/AJPH.2018.304808,The Importance of Evaluating Health Disparities Research,American journal of public health,2019,,False
63,10.1186/s13326-020-00222-0,25d9733d0a28ecd342e7ebfaadbf22dab475ca06,,CLIPS: An expert system building tool,,1991,,False
64,10.1186/s13326-020-00222-0,a64e23b8109913bf630f0317a6059896399b2108,,"Wheeler's Dental Anatomy, Physiology and Occlusion",,1992,,False
65,10.1186/s13326-020-00222-0,c1fe574a8e3568d1b6529381f886cf1a88a74a47,,Survival analysis of posterior restorations using an insurance claims database.,,2002,background,False
66,10.1186/s13326-020-00222-0,14c732496ae43d7e7cedacb80d0f693055b138c1,10.1038/sj.bdj.4810209,The survival and clinical performance of resin–based composite restorations used to treat localised anterior tooth wear,British Dental Journal,2003,,False
67,10.1186/s13326-020-00222-0,34b9635d7779e219e9d60e0d3d33919ca9bc123c,10.1016/S1084-8045(02)00061-9,Publisher's Note,J. Netw. Comput. Appl.,2003,,False
68,10.1186/s13326-020-00222-0,a21ec1217fe29c37050267a46a3d0ce0a609b8e4,10.1016/J.JBI.2003.11.007,A reference ontology for biomedical informatics: the Foundational Model of Anatomy,J. Biomed. Informatics,2003,,False
69,10.1186/s13326-020-00222-0,b8a46dc173191aba8b3a2ab078fb32b9c6c09006,10.17487/RFC3987,Internationalized Resource Identifiers (IRIs),RFC,2005,,False
70,10.1186/s13326-020-00222-0,d2fbb81060dc554b76613745664b3cf41faf00d3,,The Significance of SNODENT,MIE,2005,,False
71,10.1186/s13326-020-00222-0,05024c3911be7ddfbdfa7f1697b99207777c7765,10.3233/AO-2009-0063,Binding Ontologies & Coding Systems to Electronic Health Records and Messages,KR-MED,2006,,False
72,10.1186/s13326-020-00222-0,68a2e813b063613e8d2957e24fc53147b7bd2b60,10.1002/J.0022-0337.2006.70.10.TB04183.X,Survival analysis of complete veneer crowns vs. multisurface restorations: a dental school patient population.,Journal of dental education,2006,,False
73,10.1186/s13326-020-00222-0,99efeff0beb5e47f22b1bd369e7b5976dac622f5,10.1016/J.JBI.2005.08.002,Strategies for referent tracking in electronic health records,J. Biomed. Informatics,2006,,False
74,10.1186/s13326-020-00222-0,74a776fc32153f2306086d8b69bb29fdd8fcad13,10.1038/nbt1346,The OBO Foundry: coordinated evolution of ontologies to support biomedical data integration,Nature Biotechnology,2007,,False
75,10.1186/s13326-020-00222-0,45f91355a77888b68e5a6b482e594496c27ba736,10.1007/978-1-84628-885-2_16,CARO - The Common Anatomy Reference Ontology,Anatomy Ontologies for Bioinformatics,2008,,False
76,10.1186/s13326-020-00222-0,6d4d67513ce3a6b153dc4b5e41657f7984694ce9,,OWL 2 Web Ontology Language: structural specification and functional-style syntax,,2008,,False
77,10.1186/s13326-020-00222-0,68360af1bc0a6b72bc8ddddc113041475cc3fcec,,Toward an Ontological Treatment of Disease and Diagnosis,Summit on translational bioinformatics,2009,,False
78,10.1186/s13326-020-00222-0,178dbb49e5544d9d1153d765c2f11fb7a6a7c1cd,10.1186/1471-2105-11-441,Relations as patterns: bridging the gap between OBO and OWL,BMC Bioinformatics,2010,,False
79,10.1186/s13326-020-00222-0,2c8c736b50971e68c1216e99e6fe7edab1800471,10.1093/bioinformatics/btq578,Interoperability between phenotype and anatomy ontologies,Bioinform.,2010,methodology,False
80,10.1186/s13326-020-00222-0,7a7850fd720f2419c50dc0f2c6e6ef6b10f5aff3,10.1186/1756-0500-3-175,OntoFox: web-based support for ontology reuse,BMC Research Notes,2010,,False
81,10.1186/s13326-020-00222-0,d1dd7426c903e25f21082347b07e1852b7feb144,10.3233/AO-2010-0079,Ontological realism: A methodology for coordinated evolution of scientific ontologies,Appl. Ontology,2010,,False
82,10.1186/s13326-020-00222-0,dd047ea6f941f8f8c4145675197f85fac4164e3c,10.3233/AO-2011-0087,MIREOT: The minimum information to reference an external ontology term,Appl. Ontology,2011,,False
83,10.1186/s13326-020-00222-0,de99946ca6094f0b1682247b00f33863ced522c4,10.1038/sj.bdj.2011.683,Survival analysis of composite Dahl restorations provided to manage localised anterior tooth wear (ten year follow-up),BDJ,2011,,False
84,10.1186/s13326-020-00222-0,10d20fac1cd97f590a07ba04e639d5840f9db9c3,,Representing Intracoronal Tooth Restorations in the Ontology for Oral Health and Disease,ICBO,2013,,False
85,10.1186/s13326-020-00222-0,12cb1a709dfa940772380511a12bcee642cadcce,10.1136/amiajnl-2013-002230,BigMouth: a multi-institutional dental data repository,AMIA,2014,,False
86,10.1186/s13326-020-00222-0,43748fe060cff26c5b4953a185c2b75782950c0e,,An ontology-based method for secondary use of electronic dental record data,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2013,,False
87,10.1186/s13326-020-00222-0,45103351468490e07040dc786854936a72cf7652,10.14219/JADA.ARCHIVE.2013.0013,Electronic dental record use and clinical information management patterns among practitioner-investigators in The Dental Practice-Based Research Network.,Journal of the American Dental Association,2013,background,False
88,10.1186/s13326-020-00222-0,9e03d136bfcf561f321c850a969eea50a104cd87,10.1016/j.jdent.2013.04.006,Reusing electronic patient data for dental clinical research: a review of current status.,Journal of dentistry,2013,,False
89,10.1186/s13326-020-00222-0,7254b225cfca9a4b027ac0d71bdb0011a04ee6d5,10.1093/jamia/ocu013,Semantic enrichment of clinical models towards semantic interoperability. The heart failure summary use case,J. Am. Medical Informatics Assoc.,2015,,False
90,10.1186/s13326-020-00222-0,860771f7b12bf76f8fff7e583c98b39ef68bd657,10.1186/s13326-015-0028-y,Development of an Ontology for Periodontitis,J. Biomed. Semant.,2015,,False
91,10.1186/s13326-020-00222-0,f0507353f1a3fb8f63e26fef0053e9c17b0111b9,10.7551/mitpress/9780262527811.001.0001,Building Ontologies with Basic Formal Ontology,,2015,,False
92,10.1186/s13326-020-00222-0,fc0f61810f589409d1961a137c587ef2532b2141,,Tools for Simulating and Plotting Quantities of InterestEstimated from Cox Proportional Hazards Models,,2015,,False
93,10.1186/s13326-020-00222-0,205a6afb71c95a11aa1b7340f0012183142c31dd,10.1371/journal.pone.0154556,The Ontology for Biomedical Investigations,PloS one,2016,,False
94,10.1186/s13326-020-00222-0,54a4f52256cd7dc01ee5d12c7d9134028ca2c613,10.1186/s13326-016-0087-8,The ontology of medically related social entities: recent developments,J. Biomed. Semant.,2016,,False
95,10.1186/s13326-020-00222-0,ac89c0d1db363c7f027595e5a059621413352014,,Permanent Generic Relatedness and Silent Change,JOWO@FOIS,2016,,False
96,10.1186/s13326-020-00222-0,e8099862012d053343cd1b5d80922f81dd6ac617,,Extension to ggplot2,,2016,methodology,False
97,10.1186/s13326-020-00222-0,597c40698e3dd8a6e8b0053b67cb4083e94d977a,,Transforming and Unifying Research with Biomedical Ontologies: The Penn TURBO Project,ICBO,2018,methodology,False
98,10.1186/s13326-020-00222-0,307c4552610023d9576463ce22e1131528605bda,,Survival Analysis [R package survival version 3.2-3],,2020,methodology,False
99,10.1177/2380084419892550,5358e200673a378069045abff4dd0337baacc48c,,Removal of an aspirated gold crown utilizing the laparoscopic biopsy forceps: a case report.,,1995,,False
100,10.1177/2380084419892550,aa73d1564c0119bf93b46e198ccf20239d38f781,,Removal of an aspirated gold crown utilizing the laparoscopic biopsy forceps: a case report.,Quintessence international,1995,background,False
101,10.1177/2380084419892550,3142d6d2c60634b714e40207fe3da7b9cadecf1d,10.1006/JBIN.2001.1029,A Simple Algorithm for Identifying Negated Findings and Diseases in Discharge Summaries,J. Biomed. Informatics,2001,methodology,False
102,10.1177/2380084419892550,13daf6e65abdb16545d56bb383a31a110f48d275,10.1136/qhc.12.suppl_1.i7,Applying the lessons of high risk industries to health care,Quality & safety in health care,2003,background,False
103,10.1177/2380084419892550,cdf191c1fdcfd8bdd618eaa1f1a5b110e716f970,10.1136/qhc.12.suppl_2.ii39,Methodology and rationale for the measurement of harm with trigger tools,Quality & safety in health care,2003,,False
104,10.1177/2380084419892550,4d002fe0de5a90615d139c22f125e4c9ba3603f5,,Safe Practices for Better Health Care,,2005,background,False
105,10.1177/2380084419892550,2c9ffc751e1d9f10031eca1d9f9170361870989e,10.1038/bdj.2007.374,Review: the use of sodium hypochlorite in endodontics — potential complications and their management,BDJ,2007,background,False
106,10.1177/2380084419892550,e8eab76be3e34ded3c71db1cd4f644a425b20198,10.1136/qshc.2006.020073,Using trigger phrases to detect adverse drug reactions in ambulatory care notes,Quality and Safety in Health Care,2007,background,False
107,10.1177/2380084419892550,2762ba3b70365bf2bd28e45904e898cff017ad95,10.1038/sj.bdj.2008.256,High speed laceration,BDJ,2008,background,False
108,10.1177/2380084419892550,83c2840ff49180902cfeeda29ca905239b3d9f77,10.1097/PTS.0b013e318183a475,Development and Evaluation of the Institute for Healthcare Improvement Global Trigger Tool,,2008,,False
109,10.1177/2380084419892550,b980f7267eb6c9c58a39f2da968c41e1a7232088,10.1001/jama.299.6.685,Effectiveness and efficiency of root cause analysis in medicine.,JAMA,2008,,False
110,10.1177/2380084419892550,5a846ed5a8cdb22c3661d3e4a1bdea25dd1195e4,10.1016/j.jbi.2008.08.010,Research electronic data capture (REDCap) - A metadata-driven methodology and workflow process for providing translational research informatics support,J. Biomed. Informatics,2009,methodology,False
111,10.1177/2380084419892550,d7331536c1e2e74b936450b72889ba193c664d50,10.1111/j.1875-595X.2012.00119.x,"Patient safety and dentistry: what do we need to know? Fundamentals of patient safety, the safety culture and implementation of patient safety measures in dental practice.",International dental journal,2012,,False
112,10.1177/2380084419892550,f3975cf8598556c95a5b0deb6f183a0337a97ad7,10.14219/JADA.ARCHIVE.2012.0303,From good to better: toward a patient safety initiative in dentistry.,Journal of the American Dental Association,2012,background,False
113,10.1177/2380084419892550,3a90101d4d58037e7054561f479bc7aa7db76fb8,10.14219/JADA.ARCHIVE.2013.0191,An adverse event trigger tool in dentistry: a new methodology for measuring harm in the dental office.,Journal of the American Dental Association,2013,result background,False
114,10.1177/2380084419892550,4ab23935c347fdcac710122d688e3ea8d19c9161,10.1016/j.jpeds.2014.03.033,Adverse drug event detection in pediatric oncology and hematology patients: using medication triggers to identify patient harm in a specialized pediatric patient population.,The Journal of pediatrics,2014,background,False
115,10.1177/2380084419892550,e3a6786be063464bbc8c49530275decb1dcd7999,10.1038/sj.bdj.2014.857,Patient safety in primary care dentistry: where are we now?,BDJ,2014,background,False
116,10.1177/2380084419892550,1b48f1cdb332974aee2f6962eab7399dd71aebb5,10.1016/j.adaj.2014.11.015,The dangers of dental devices as reported in the Food and Drug Administration Manufacturer and User Facility Device Experience Database.,Journal of the American Dental Association,2015,methodology background,False
117,10.1177/2380084419892550,3fb51790b7334608dc5dfe4cdea4ff8cd21d0e39,10.1542/peds.2014-2152,A Trigger Tool to Detect Harm in Pediatric Inpatient Settings,Pediatrics,2015,background,False
118,10.1177/2380084419892550,bed5b34071e1edef37501bb8d70f21d96e09d965,10.1016/j.adaj.2015.01.003,Lessons learned from dental patient safety case reports.,Journal of the American Dental Association,2015,background,False
119,10.1177/2380084419892550,35faf54ecb49cc8ce3e6e8dbbac8e99f8452027e,10.2146/ajhp150481,Detection of adverse drug events using an electronic trigger tool.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2016,background,False
120,10.1177/2380084419892550,5597ffe04575a78920fd744eb8dd5ef96d795832,10.1093/intqhc/mzw115,The application of the Global Trigger Tool: a systematic review.,International journal for quality in health care : journal of the International Society for Quality in Health Care,2016,background,False
121,10.1177/2380084419892550,9baa640bd52aecaa2c82e9354b6c6c04287966f6,10.1016/j.chest.2016.05.001,Computerized Triggers of Big Data to Detect Delays in Follow-up of Chest Imaging Results.,Chest,2016,background,False
122,10.1177/2380084419892550,3e6ca35e3036aa537b7d8f15efa5f0f94ba8da6a,10.1136/bmjqs-2018-008086,Application of electronic trigger tools to identify targets for improving diagnostic safety,BMJ Quality & Safety,2018,,False
123,10.1177/2380084419892550,b03d84b37b7d2acb6bf7e18609b209f6a05d45be,10.2196/jmir.9901,Trigger Tool–Based Automated Adverse Event Detection in Electronic Health Records: Systematic Review,Journal of medical Internet research,2018,background,True
124,10.1177/2380084419892550,d2ff486c181efc0d3e03fded544423932a0f8c9e,,Assessing Information Congruence of Documented Cardiovascular Disease between Electronic Dental and Medical Records,AMIA,2018,background,False
125,10.1177/2380084419892550,e9470561c52ce1c17c6f6b6c1d1d6391367c97b5,10.1055/s-0038-1668088,Feasibility of Electronic Health Record-Based Triggers in Detecting Dental Adverse Events,Appl. Clin. Inform.,2018,result background methodology,False
126,10.1177/2380084419892550,e3426fd3062680e48452fb83be84ee0dd55096d2,10.1093/jamia/ocz063,A study of deep learning approaches for medication and adverse drug event extraction from clinical text,J. Am. Medical Informatics Assoc.,2020,background,True
127,10.1007/978-3-319-98298-4_11,7717fb014261b44734acf41715dddcbc011397c3,10.1126/SCIENCE.130.3366.9,"Reasoning foundations of medical diagnosis; symbolic logic, probability, and value theory aid our understanding of how physicians reason.",Science,1959,,False
128,10.1007/978-3-319-98298-4_11,379ebfa48a9a4f6434eee8d99d9e189a653ebe6d,10.1111/j.1749-6632.1964.tb00043.x,EXPERIENCE WITH BAYE'S THEOREM FOR COMPUTER DIAGNOSIS OF CONGENITAL HEART DISEASE *,,1964,,False
129,10.1007/978-3-319-98298-4_11,cf7068be939ac5f2a04dc392e7d08604bfd3aa45,10.1111/j.1749-6632.1964.tb50648.x,EXPERIENCE WITH BAYE'S THEOREM FOR COMPUTER DIAGNOSIS OF CONGENITAL HEART DISEASE *,Annals of the New York Academy of Sciences,1964,,False
130,10.1007/978-3-319-98298-4_11,d8355036d610a23d78c62650abfa6ea030e65792,10.1177/00220345670460061701,Cephalometrics and the Computer,Journal of dental research,1967,,False
131,10.1007/978-3-319-98298-4_11,da8e88f475b2fdd28d089ec1a202b0d2b9792a34,10.1007/978-1-61779-385-1_8,Prevention of bacterial endocarditis.,Medical times,1983,,False
132,10.1007/978-3-319-98298-4_11,897faff173c3881e7c57017b1b70d2e88ddbf829,10.7326/0003-4819-103-4-596,Information needs in office practice: are they being met?,Annals of internal medicine,1985,,False
133,10.1007/978-3-319-98298-4_11,2d26455f4432ae698ce94fead72d46ee2ace8787,10.2337/dc11-S011,Standards of Medical Care in Diabetes—2011,Diabetes Care,2011,,False
134,10.1007/978-3-319-98298-4_11,eb2fed9b433e22b5bc89e3b66989fc26706a3969,10.1038/sj.bdj.4806380,Prevention of infective endocarditis',British Dental Journal,1988,,False
135,10.1007/978-3-319-98298-4_11,289b472c010aa4dd80f3a1bbe902b4a54edd2f70,10.1259/DMFR.18.2.2699592,Computer-aided differential diagnosis of oral radiographic lesions.,Dento maxillo facial radiology,1989,,False
