url,Year,Title,Authors,Venue (Journal Name or Conference),DOI,DOI - Yes/No,Summary,,
https://pubmed.ncbi.nlm.nih.gov/15646601/,2004,Should dentistry be part of the National Health Information Infrastructure?,Titus K L Schleyer 1,Journal of American Dental Association ,10.14219/jada.archive.2004.0120,yes,The author of the article focuses on should dentistry be a part of the national health information infrastructure. The author reviewed the NHII and its goals and structure through published reports and background literature and evaluated the advantages and disadvantages of the NHII regarding their implications for the dental care system.,,
https://journals.sagepub.com/doi/10.1177/154407370301700121,2003,Overview of bioinformatics and its application to oral genomics,W P Kuo 1,Advances in Dental Research,10.1177/154407370301700121,yes,"the article is about informatics revolution in bioinformatics and dental informatics. This manuscript reviews the two most commonly used microarray technologies, basic microarray data analysis, and the results from several ongoing oral cancer genomic studies.",,
https://journals.sagepub.com/doi/10.1177/154407370301700103,2003,Dental informatics: an emerging biomedical informatics discipline,T.K. Schleyer,Advances in Dental Research,https://doi.org/10.1177/154407370301700103,yes,This article delineates informatics from information technology and explains the types of scientific questions that dental and other informaticians typically explore. ,,
https://journals.sagepub.com/doi/pdf/10.1177/154407370301700104,2003,Dental informatics: a work in progress,T K Schleyer 1,Advances in Dental Research,10.1177/154407370301700104,yes,the article discuss the challeges facing by the dental infomatics field and how to strenghten the field with the help of research and growing community. ,,
https://jada.ada.org/article/S0002-8177(14)61705-0/fulltext,2001,Dental informatics. A cornerstone of dental practice.,"T Schleyer 1, H Spallek",Journal of American Dental Association (1939),https://doi.org/10.14219/jada.archive.2001.0237,yes,the article discuss the issues in the field of dental informatics. The authors conducted a literary review and round table discussions with dental inforamtics professionals. They have concluded DI can provide solutions to many problems that are in the field but it may also face some obstacles during the process. ,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7354845/,2020,Feasibility of establishing tele-dental approach to non-traumatic dental emergencies in medical settings,"Adham Abdelrahim 1 2, Neel Shimpi 3, Harshad Hegde 3, Katelyn C Kleutsch 4, Po-Huang Chyou 5, Gaurav Jain 6, Amit Acharya 7", American journal of dentistry,PMCID: PMC7354845,no,"This article is review the non traumatic dental condition visits examined in different clinic setting. 13 participants are in the study and they are examined by dentists from emergency department, tete-dental examiner, dentist post at urgent care, secondary assessment by tele- dental examiner. Tele-dentistry also appears to be an accurate approach in obtaining accurate diagnosis for dental emergencies, with a potential cost saving. However larger scale study is needed to confirm these findings. ",,
https://www.jmir.org/2020/7/e18652,2020,Assessing Patient Experience and Healthcare Quality of Dental Care Using Patient Online Reviews in the United States: Mixed Methods Study,"Ye Lin 1, Y Alicia Hong 2, Bradley S Henson # 1, Robert D Stevenson # 1, Simon Hong # 1, Tianchu Lyu 3, Chen Liang 3",Journal of Medicl Internet Research,10.2196/18652,yes,"The author of the article focused on pateint experience and health care quality of dental care using a patient online review called HealthGrades. This study demonstrated that PORs are a potential data source that can supply rich performance data from the patient perspective, based on which assessments of dental care quality and the patient experience is feasible",,
https://pubmed.ncbi.nlm.nih.gov/31438397/,2019,Acceptance of Tele-Dental Health Education Among Head and Neck Cancer Patients in Saudi Arabia,"Sarah Alradhi 1, Ahmed Albarrak 1, Meshael Alghamdi 2",Studies in Health and Inofrmation Technology,10.3233/SHTI190703,yes,"This cross sectional queationaaire study focuses on acceptance of tele dental health education among head and neck cancer patients in saudi arabia with 253 patients during march to april 2019. Data is collected via phone and concluded patience accept to communicate with health care providers by using smartphones, and they had a positive attitude toward mobile dental health education.",,
https://onlinelibrary.wiley.com/doi/10.1111/idh.12232,2017,Comparison of dental hygienists and dentists: clinical and teledentistry identification of dental caries in children,"S J Daniel 1, S Kumar 2",International Journal of Hygiene ,https://doi.org/10.1111/idh.12232,yes,"The purpose of the study is to compare identification of dental caries by dental hygienist and dentists, and by using  clinical and teledentistry methods. A sample of 82 children from ages 4 to 7 are taken as test subjects. The results are dental hygienist can identify dental caries in children 4–7 years of age from photographs as accurately as a dentist in the clinical setting.",,
https://www.thieme-connect.de/products/ejournals/abstract/10.4338/ACI-2015-11-RA-0150,2016,Exploring Dental Providers' Workflow in an Electronic Dental Record Environment. ,"Schwei, K. M., Cooper, R., Mahnke, A. N., Ye, Z., & Acharya, A. ",Applied clinical informatics ,https://doi.org/10.4338/ACI-2015-11-RA-0150,yes,"The article talks about workflow of dental providers in an electroinc dental record environment using time and motion methodology in order to identify breakdowns and opportunities for process improvement. Breakdowns in workflow were identified while posting charges, viewing radiographs, e-prescribing, and interacting with patient scheduler. EDR interaction time was significantly different between dentists, dental assistants and between dentists and dental hygienists . In conclusion on average, a dentist spent far less time than dental assistants and dental hygienists in data recording within the EDR.",,
https://www.jmir.org/2014/6/e151/,2014,Exploring design requirements for repurposing dental virtual patients from the web to second life: a focus group study. ,"Antoniou, P. E., Athanasopoulou, C. A., Dafli, E., & Bamidis, P. D.",Journal of medical Internet research , https://doi.org/10.2196/jmir.3343,yes,"The aims to assess the suitability of the Second Life MUVE as a virtual patient deployment platform for undergraduate dental education, and to explore the requirements and specifications needed to meaningfully repurpose Web-based virtual patients in MUVEs. ",,
https://www.sciencedirect.com/science/article/abs/pii/S0002817714605924?via%3Dihub,2013,Dental care providers&apos; and patients&apos; perceptions of the effect of health information technology in the dental care setting,"Onur Asan 1, Zhan Ye, Amit Acharya",Journal of the American Dental Association (1939),10.14219/jada.archive.2013.0229,yes,"The authors collected survey and interview data from patients and providers at three dental clinics in a health care system. The authors used qualitative and quantitative methods to analyze data obtained from patients and dental care providers. The provider survey results showed significant differences in perceptions of EHR use in patient visits across dental care provider groups (dentists, dental hygienists and dental assistants). Patient survey results indicated that some patients experienced a certain level of frustration and distraction because of providers&apos; use of EHRs during the visit. in conclusion The provider survey results indicated that there are different perceptions across provider groups about EHRs and the effect of computer use on communication with patients.",,
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0067862,2013,Dental informatics to characterize patients with dentofacial deformities,"Seoung Bum Kim 1, Jung Woo Lee, Sin Young Kim, Deok Won Lee",PloS one,10.1371/journal.pone.0067862,yes,The purpose of this study is to demonstrate the use of various data mining algorithms to characterize patients with dentofacial deformities. A total of 72 patients with skeletal malocclusions who had completed orthodontic and orthognathic surgical treatments were examined. Each patient was characterized by 22 measurements related to dentofacial deformities. Clustering analysis and visualization grouped the patients into three different patterns of dentofacial deformities. The results showed that feature selection improved classification accuracy while simultaneously determining which measurements were relevant.,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3621098/,2013,Comparing potential early caries assessment methods for teledentistry,Van Hilsen Z,BMC oral health,PMCID: PMC3621098,no,"The article talks about optical caries detection methods and their incorporation in teledentistry. Six blinded examiners were used to compare the accuracy of caries detection using different diagnostic tools like Midwest Caries ID™ (MID), visual photographic examination (CAM) and Cross Polarization Optical Coherence Tomography (CP-OCT). In conclusion this study found that MID and CP-OCT did not have markedly superior diagnostic values from simple CAM assessment for use in teledentistry",,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4124731/,2011,Medical providers' dental information needs: a baseline survey,"Amit Acharya 1, Andrea Mahnke, Po-Huang Chyou, Carla Rottscheit, Justin B Starren",Studies in Health Technology and Informatics,PMID: 21893778  PMCID: PMC4124731,no,"The objective of this study was to develop an initial understanding of the medical providers’ core dental information needs and opinion of integrated medical-dental electronic health record (iEHR) environment in their workflow. This was achieved by administering a 13 question survey to a group of 1,197 medical care providers employed by Marshfield Clinic in Wisconsin, United States. The survey received a response rate of 35%. The responses were analyzed based on provider ‘Role’ and ‘Specialty’. It is evident from this baseline study that the medical providers have recognized the need for patient’s dental information to provide comprehensive care. Hence, an iEHR environment could facilitate this holistic approach. There is scope for further investigation into specific dental information required for each of the identified specialties.",,
https://www.sciencedirect.com/science/article/abs/pii/S0002817714627884?via%3Dihub,2011,The effect of electronic health records on the use of clinical care guidelines for patients with medically complex conditions,"James Fricton 1, D Brad Rindal, William Rush, Thomas Flottemesch, Gabriela Vazquez, Merry Jo Thoele, Emily Durand, Chris Enstad, Nelson Rhodus",Journal of American Dental Association (1939),10.14219/jada.archive.2011.0082,yes,The author goal is to find out the use of electronic health records in clinical care for medically complex conditions. Author randomized 15 dental clinics with 102 provoders into 3 different groups to evaluate the impact of two clinical decision support (CDS) approaches during 18-month study period. The study demonstrated that by using cds system the clinical care be improvised for patients with medically compromised conditions.,,
https://www.sciencedirect.com/science/article/abs/pii/S0011853209000238?via%3Dihub,2009,Using teledentistry to improve access to dental care for the underserved,Fricton J; Chen H,Dental clinics of North America ,https://doi.org/10.1016/j.cden.2009.03.005,yes,The article focuses on delivering dental care to people in rural areas with the help of teledentistry and provide preventive care. This enables the specialist located many miles away to make a diagnosis and recommend treatment options and/or referral.,,
https://academic.oup.com/jamia/article/16/3/409/858645,2009,Are Chinese dentists ready for the computerization of dentistry? A population investigation of China's metropolises.,"Hu, J., Yu, H., Luo, E., Song, E., Xu, X., Tan, H., & Wang, Y", Journal of the American Medical Informatics Association : JAMIA ,https://doi.org/10.1197/jamia.M2827,yes,The aim of the article is to know the current levels of computerization in dental cnlinics and attitudes of the dentists towards computerization in metroplises of china. A questionnaire constisting of 22 questions were swent to 354 dentists.A majority of respondents supported the statement that computerization is a benefit to patient care. The authors found that the computerization of dental clinics in Chinese metropolises is a few years behind that of western nations.,,
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.495.6528&rep=rep1&type=pdf,2009,Information technology in oral health care: Attitudes of dental professionals on the use of teledentistry in Turkey,"Ata, Secil Ozkan, and Sevgi Ozkan", In European and Mediterranean Conference on Information Systems ,pp. 13-14,no,"The aim of the article is to know the attitude of dental professionals towads teledentistry. A total of 219 participans comprised dentists, assistants, dental students, technicians and dental educators given a questionnaire consisted of 3 sections and 19 5-point Likert type questions. till now there is no application for teledentistry in turkey. this study revelaled that that a majority of the dental professionals in Turkey support the concept of using teledentistry integrated to current oral health care services.",,
https://www.sciencedirect.com/science/article/pii/S138650560800124X?via%3Dihub,2008,Patients’ attitudes towards online dental information and a web-based virtual reality program for clinical dentistry: A pilot investigation in China,"JianHua, EnLuob, EnmingSong, XiangyangXu, HongbaoTancYiZhao, YiningWang, ZhiyongLi",International Journal of Medical Informatics,https://doi.org/10.1016/j.ijmedinf.2008.07.003,yes,The research investiagated (1) the attitudes of dental patients toward searching online for dental information and (2) patients attitudes and expectations towards a web-based 3D virtual reality program for clinical dentistry.A questionnaire survey was conducted and the findings indicate that a considerable portion of respondents conduct their own internet searches for related dental information before seeking professional advice on dental care. ,,
https://pubmed.ncbi.nlm.nih.gov/18998872/,2008,SmartConsent: a computerized informed consent for dental patients,Valenza; Spence JM; Taylor D; Walji MF, American Medical Informatics Association : Annual Symposium proceedings. AMIA Symposium ,PMID: 18998872,no,"The article talks about SMARTCONSENT: a computerized prototype informed consent for dental patients that explains about risks, benefits, and other critical information about the treatment procdures. In future the researchers want to integrate the smartconsent into educational institutional patient electronic records to determine its effectiveness in a randomized controlled study.",,
https://pubmed.ncbi.nlm.nih.gov/17923711/,2007,Use of an Electronic Patient Record system to evaluate restorative treatment following root canal therapy,Shelley PQ; Johnson BR; BeGole EA,Journal of dental education  ,PMID: 17923711,no,"The purpose of this project was to evaluate the use of an EPR system for assessment of quality of care in an academic dental institution. The primory purpose is to look at the time line of the complete resorative care following completion of nonsurgical root canal therapy. A total of 925 patients with 1,014 endodontically treated teeth met the inclusion criteria. A random sample of 30 percent of the treated teeth (302 teeth on 281 patients) was selected for detailed review.This study documents the use of an EPR system to objectively and efficiently assess one aspect of quality of care in a dental school environment.",,
https://jada.ada.org/article/S0002-8177(14)64087-3/fulltext,2003,Teledentistry and its use in dental education,"JUNG-WEICHEN,D.D.S., M.S. MARTIN H.HOBDELL, B.D.S., M.A., Ph.D. KIMDUNNM.D., Ph.D. KATHY A.JOHNSONPh.D. JIAJIEZHANGPh.D.",The Journal of the American Dental Association,https://doi.org/10.14219/jada.archive.2003.0164,yes,"The author points out that teledentistry is a new field that combines telecommunication technology and dental care. Teledentistry in education can be divided into two main categories: self-instruction and interactive videoconferencing. Both of these methods have been used in several studies and countries. In conclusion, the clinical implications of teledentisry are it can extend care to underserved patient populations, such as those in rural areas, at a reasonable cost. Teledentistry provides an opportunity to supplement traditional teaching methods in dental education, and will provide new opportunities for dental students and dentists.",,
https://www.sciencedirect.com/science/article/pii/S1386505618308657?via%3Dihub,2019,Electronic primary dental care records in research: A case study of validation and quality assurance strategies,"Kristina L Wanyonyi 1, David R Radford 2, Jennifer E Gallagher 3",International Journal  of Medical Informatics,https://doi.org/10.1016/j.ijmedinf.2019.04.007,yes,"The aim of this paper is to describe a case study process of obtaining research data (sociodemographic, clinical and workforce) from electronic primary care dental records, and outlining data cleaning and validation strategies. This study was undertaken at the University of Portsmouth Dental Academy (UPDA). In conclusion electronic dental records are useful in health service research, epidemiological studies and skill mix research. ",,
https://www.thieme-connect.de/products/ejournals/html/10.1055/s-0038-1668088,2018,Feasibility of Electronic Health Record–Based Triggers in Detecting Dental Adverse Events,"Elsbeth Kalenderian,1 Enihomo Obadan-Udoh,1 Alfa Yansane,1Karla Kent,2 Nutan B. Hebballi,3 Veronique Delattre,3Krisna Kumar Kookal,3 Oluwabunmi Tokede,4 Joel White,1 and Muhammad F. Walji3",Applied Clinical Informatics,10.1055/s-0038-1668088,yes,"The aim of the researcher is to develop, test and identify EHR-based adverse effect (AE)triggers at four academic institutions and find dental AEs, defined as moderate or severe physical harm due to dental treatment. The results are A total of 100 AEs were identified by 10 of the 11 triggers. EHR-based triggers are a promising approach to unearth AEs among dental patients compared with a manual audit of random charts. ",,
https://onlinelibrary.wiley.com/doi/10.1111/eje.12203,2017,"Information retrieval, critical appraisal and knowledge of evidence-based dentistry among Finnish dental students","P Nieminen 1, J I Virtanen 2 3",europian journal of dental education, https://doi.org/10.1111/eje.12203,yes,"The researchers focused on how dental students in finland acquire scientific information and how familiar they are with methods for evaluating scientific evidence related to clinical questions. All fifth-year dental students at the three universities in Finland received a self-administered questionnaire. The results are three most commonly used sources of information were colleagues, the commercial Health Gate Portal for dental practitioners and personal lecture notes. In conclusion Most students seem to lack knowledge of key methodological evidence-based terms. The present curricula in dental schools fail to encourage the students to search and acquire knowledge wider than their patients themselves do. ",,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3131116,2017, Informatics as a Branch in Indian Academics with Case of Private Universities: Emphasizing Biological Information Sciences,"Paul, Prantosh, and P. S. Aithal","Current Trends in Biotechnology and Chemical Research,","7(1-2), 37-42.",no,The paper is a conceptual in nature which talks about inforamtics in indian educational instuitutions. Use of inforamtics in educatioanl instituions is very limied. The paper highlited highlighted the bio-informatics and related areas at a large as far as private universities are concerned.,,
https://www.jomfp.in/article.asp?issn=0973-029X;year=2016;volume=20;issue=2;spage=194;epage=201;aulast=Erlewad,2016,"Dental Informatics tool ""SOFPRO"" for the study of oral submucous fibrosis","Dinesh Masajirao Erlewad 1, Kalpana Anandrao Mundhe 2, Vinay K Hazarey 3",Journal of oral and maxillofacial pathology : JOMFP, 10.4103/0973-029X.185939,yes,"The article focuses on descriptive epidemiological study on oral submusocu fibrosis using computer program SOFPRO was designed and developed by using, Ms-Visual Basic 6.0 (VB), Ms-Access 2000, Crystal Report 7.0 and Ms-Paint in operating system XP. In the end SOFPRO was found to be a user friendly automated tool for easy data collection, retrieval, management and analysis of OSF patients. ",,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4593405/,2015, Does use of an electronic health record with dental diagnostic system terminology promote dental students' critical thinking?.,"Reed, S. G., Adibi, S. S., Coover, M., Gellin, R. G., Wahlquist, A. E., AbdulRahiman, A., Hamil, L. H., Walji, M. F., O'Neill, P., & Kalenderian, E.", Journal of dental education,PMCID: PMC4593405,no,"This article has two aims 1) to investigate use of the dental diagnostic terminology (DDS) terms positively impacted predoctoral dental students’ critical thinking skills measured by the Health Sciences Reasoning Test (HSRT), and 2) to refine study protocols. The study was approved by the Institutional Review Board at each of the three institutions: Medical University of South Carolina, The University of Texas School of Dentistry at Houston, and Harvard School of Dental Medicine. pilot study demonstrated a positive impact of using the DDS terminology in the axiUm electronic health record on the critical thinking skills of predoctoral dental students in three COHRI schools as measured by overall scores on the HSRT.",,
https://www.webofscience.com/wos/woscc/full-record/WOS:000344833900010,2014,Costs of Health IT: Beginning to Understand the Financial Impact of a Dental School EHR,"Spallek, Heiko",JOURNAL OF DENTAL EDUCATION,0022-0337,no,The article focuses on the costs of health IT impacts on 4 different dental school HER system. Out of 4 dental schools 2 of them have their own HER syaytemm and data base. The results are based on old data and should not be regarded as gold standered. The presented data are intended to inform school administrators about the costs associated with Health IT and give them a point of reference when comparing costs or making estimates for implementation projects.,,
https://www.educationforhealth.net/article.asp?issn=1357-6283;year=2014;volume=27;issue=3;spage=293;epage=296;aulast=Jathanna,2014,The awareness and attitudes of students of one indian dental school toward information technology and its use to improve patient care,"Vinod R Jathanna 1, Ramya V Jathanna, Roopalekha Jathanna","education for health (abingdon, england)",10.4103/1357-6283.152194,yes,The aim of the study is to assess perception of fianl year dental student on usefulness of digital technology towards the profession. A total of 186 final year students weeew taken into the study. The survey data is analysed descriptively. Most students though that information technology will enhance the patient satifaction and treatment outcomes but he obvious obstacles are cost of equipment and need for training.,,
https://journals.sagepub.com/doi/10.1177/0022034513487560,2013,Using electronic dental record data for research: a data-mapping study,"K Liu 1, A Acharya, S Alai, T K Schleyer",Journal of Dental Research,https://doi.org/10.1177/0022034513487560,yes,The researchers ustilized the exisiting ekectrionic health records data to check the overlap of research data fields used in dental PBRN studies and clinical data fields typically found in general dental records. This study showed that data elements in general dental records can be mapped either completely or partially to data fields in research studies. Further studies should investigate the feasibility of electronic clinical data for research purposes.,,
https://www.jomfp.in/article.asp?issn=0973-029X;year=2012;volume=16;issue=1;spage=83;epage=87;aulast=Singaraju,2012,Evolution of dental informatics as a major research tool in oral pathology,"Sasidhar Singaraju 1, H Prasad, Medhini Singaraju",Journal Oral and Maxillofacial Pathology : JOMFP,10.4103/0973-029X.92979,yes,"This article attempts to review the evolution and progress of dental informatics as a specialty and its applications in oral pathology. The article talks about tools, databases used, and application of informatics for Early detection of oral cancer, Genomics and proteomics in oral pathology, Microarrays. ",,
https://pubmed.ncbi.nlm.nih.gov/22550110/,2012,An online community of inquiry for reflective practice in an operative dentistry course. ,"Gardner, K. ",Journal of Dental Education,PMID: 22550110,no,This is descriptive article presents an overview of the experiences involved in developing this COI and provides a conceptual framework for an online COI.,,
https://pubmed.ncbi.nlm.nih.gov/21460265/,2011,Informational resources utilized in clinical decision making: common practices in dentistry.,"Straub-Morarend, C. L., Marshall, T. A., Holmes, D. C., & Finkelstein, M. W", Journal of Dental Education  ,PMID: 21460265,no,The study investigated current trends of Iowa dental practitioners with regard to acquisition and utilization of scientific information resources to support decision making in the clinical practice of dentistry. A survey questionnaire was mailed to all dentists licensed and practicing in the state of Iowa on September 2009. results of this study are dental practitioners utilize a variety of evidence-based and non-evidence-based information resources to support decisions in clinical practice. when it comes to recent graduates th ehabits are little different. ,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3041366/,2010,The training and support needs of faculty and students using a health information technology system were significant: A case study in a dental school,"Hill, H. K., Stewart, D. C., & Ash, J. S","In AMIA Annual Symposium Proceedings (Vol. 2010, p. 301). American Medical Informatics Association.",PMCID: PMC3041366 PMID:21346989,no," The purpose of this study was to evaluate the impact of a chairside Health Information Technology Systems (HITS) on users in the dental school setting. Qualitative techniques, including interviews, focus groups and observations, were used. This paper explores this theme in detail and discusses the implications.",,
https://onlinelibrary.wiley.com/doi/10.1111/j.1600-0579.2008.00536.x,2009,Developing information literacy with first year oral health students,Ford PJ; Foxlee N; Green W,European journal of dental education : official journal of the Association for Dental Education in Europe ,https://doi.org/10.1111/j.1600-0579.2008.00536.x,yes,The article focuses on integrating information literacy with first year denatl studens from University of Queensland. for this the teacher and librarian worked collaboratively to produce a programme. In the end this intervention has demonstrated significant enhancement of the process students used to access and to some extent evaluate information sources. It has also shown that the quality of the experience was greatly improved,,
https://academic.oup.com/jamia/article/15/2/246/709905,2008,Training Multidisciplinary Biomedical Informatics Students: Three Years of Experience,"Erik M.van MulligenPhD, MontserratCasesPhD, KristinaHettneMSc, EvaMoleroPhD, MarcWeeberPhD, Kevin A.RobertsonPhD, BaldomeroOlivaPhD, Guillermode la CalleMSc, VictorMaojoPhD",Journal of the American Medical Informatics Association,https://doi.org/10.1197/jamia.M2488,yes,"the article focuses on training Multidisciplinary approach for Biomedical Informatics Students. this is a 3 year training program adressing (1) an internet course database containing an overview of all Medical Informatics and BioInformatics courses, (2) a BioMedical Informatics Summer School, (3) a mobility program based on a ‘brokerage service’ which published demands and offers, including funding for research exchange projects, and (4) training challenges aimed at the development of multi-disciplinary skills. Students unanimously indicated that the training challenge experience had contributed to their understanding and appreciation of multidisciplinary teamwork.",,
https://academic.oup.com/jamia/article/14/4/515/789384,2007,A qualitative investigation of the content of dental paper-based and computer-based patient record formats,"Titus Schleyer 1, Heiko Spallek, Pedro Hernández",Journal of the American Medical Informatics Association,https://doi.org/10.1197/jamia.M2335,yes,"The article focuses on comparison between the content of Dental Paper-based and Computer-based Patient Record Formats. In coclusion Existing paper records exhibit limited agreement on what information dental records should contain. The CPRs only cover this information partially, and may thus impede the adoption of electronic patient records.",,
https://hijournal.bcs.org/index.php/jhi/article/view/641,2007,Health informatics research in Australia: retrospective analysis using PubMed,Kumara Mendis,Journal of Innovation in Health Informatics, http://dx.doi.org/10.14236/jhi.v15i1.641,yes,The articles objsective is to get an overview of Australian health informatics (HI) research through a bibliometric analysis using PubMed. Publication form 1970 to 2005 were taken into conisderation. Publication were increades consitently from 3 in 1970 to 335 in 2005. a dramatic rise is seen from 2002.,,
https://link.springer.com/article/10.1007%2Fs10916-006-9013-4,2006, Design of tele-educational system for interpreting dental tumor images.,Min Wu ," J Med Syst30, 351-362. ",https://doi.org/10.1007/s10916-006-9013-4,yes,"This paper will discuss a prototype tele-educational system to support dental radiology training programs, which will help dental students get the skills necessary for interpreting dental tumor images. In the future this model can help in self evealuation the dental tumor images  as part of Continuous Medical Education (CME).",,
https://journals.sagepub.com/doi/10.1177/154407370301700108,2003,Biomedical informatics training for dental researchers,L A Johnson 1,Advances in Dental Research, 10.1177/154407370301700108,yes,"This manuscript summarizes the core of biomedical informatics curriculum (biomedical informatics knowledge, data management, and software engineering) for dental research. It also summarizes the obstacles that must be overcome for all dental research students to receive the training in biomedical informatics they require. These issues are: a lack of biomedical informatics faculty, a lack of biomedical informatics courses, and a lack of accreditation standards. Last, intra- and inter-institutional collaboration solutions are described.",,
