,Unnamed: 0,Article_id,Venue,Title,Year,Abstract,Doi,fieldsOfStudy,topics,Downloadurl,TotalCitationCount,Influentialcitationcount
10,10,https://doi.org/10.21815/JDE.019.089,Journal of dental education,cost comparison onpremis solut cloudbas solut electron health record dental school clinic,2019,electron health record ehr increas move toward cloudbas web environ cloudbas ehr claim substanti benefit reduc cost littl costbenefit research exist dental school aim studi examin costbenefit cloudbas ehr compar onpremis clientserv ehr univers michigan school dentistri um dent data collect 2016 um dent costbenefit comparison tangibl intang factor associ implement new ehr use total cost ownership tco framework educaus tco framework assess three factor foundat overarch aspect three item qualit intang 56 item quantit actual cost stakehold perform factor grade relat assess score deriv item well overal factor cloudbas ehr solut receiv higher foundat qualit factor summari score overal cost onpremis solut twoyear period approxim 2000000 higher cloudbas solut cloud solut carri hidden cost cost account 8 540000 overal cost onpremis solut across twoyear period onetim ongo cost higher onpremis solut cloudbas solut 405 205 respect studi found cloudbas ehr system um dent offer signific cost save uniqu benefit avail onpremis ehr solut base cost um dent made case cloudbas ehr system,10.21815/JDE.019.089,Medicine Business,Odontogenic Tissue,https://dl.acm.org/doi/pdf/10.21815/JDE.019.089?download=true,1,0
11,11,https://doi.org/10.1159/000501643,Public Health Genomics,health data dentistri attempt master digit challeng,2019,background biomed research recent move three stage digit healthcar 1 data collect 2 data share 3 data analyt explos store health data hd dental medicin edg fourth stage digit use artifici intellig ai narrat literatur review outlin challeng manag hd anticip potenti ai oral healthcar dental research summar current literatur summari basi success manag hd establish general accept data standard guid implement within electron health record ehr health inform technolog ecosystem hit eco therebi continu adapt self learn health system lhs creat hit eco futur combin frontend util hd clinic decisionmak provid use support diagnost tool patientcent treatment plan ii backend algorithm analyz standard collect data inform populationbas polici decis resourc alloc research direct cryptograph method blockchain enabl safe effici effect dental care within global perspect key messag interoper hd access digit health technolog key deliv valuebas dental care exploit tremend potenti ai,10.1159/000501643,Computer Science Medicine,"Insurance, Dental",https://dl.acm.org/doi/pdf/10.1159/000501643?download=true,16,0
12,12,https://doi.org/10.21815/JDE.019.034,Journal of dental education,electron health record data qualiti,2019,dental school tripl mission educ student treat patient make discoveri research electron health record ehr fast becom indispens fulfil three mission primari use ehr document care deliv,10.21815/JDE.019.034,Medicine Business,Supernumerary,https://dl.acm.org/doi/pdf/10.21815/JDE.019.034?download=true,2,0
13,13,https://doi.org/10.1016/J.IJMEDINF.2019.04.007,Int. J. Medical Informatics,electron primari dental care record research case studi valid qualiti assur strategi,2019,background dentistri use electron patient record research underexplor aim paper describ case studi process obtain research data sociodemograph clinic workforc electron primari care dental record outlin data clean valid strategi studi undertaken univers portsmouth dental academi upda centr educ train provis state fund servic nation health servic upda electron patient manag system r4clinic wide use system general dental practic uk method twophas process involv first pilot second main data extract undertaken use system queri languag sql data extract contain variabl relat patient demographi socioeconom status dental care receiv generat data clean valid exercis follow use combin techniqu includ malet marcuss 2000 general framework data clean rahm haido 2010 principl data clean result find case studi support use twophas data extract process data valid process highlight need manual analyt strategi clean data final process demonstr electron dental record valid use epidemiolog heath servic research potenti generalis find great due larg number record howev limit data need consid relat qualiti data input databas structur interpret data code conclus electron dental record use health servic research epidemiolog studi skill mix research research work close clinician manag softwar develop ensur data generat accur valid generalis follow data extract research need adapt stringent valid data clean strategi guarante extract electron data accur,10.1016/J.IJMEDINF.2019.04.007,Computer Science Medicine,Pulp Canals,https://dl.acm.org/doi/pdf/10.1016/J.IJMEDINF.2019.04.007?download=true,2,0
14,14,https://doi.org/10.3233/SHTI190703,MedInfo,accept teledent health educ among head neck cancer patient saudi arabia,2019,base latest publish cancer report saudi health council saudi cancer registri scr 2014 percentag cancer incid got higher previous report 2012 102 1 increas incid head neck cancer hnc remain local public health burden provok us consid technolog innov manag serious health consequ aim evalu patient precept toward technolog usag reciv health care,10.3233/SHTI190703,Medicine Computer Science,Forty Nine,https://dl.acm.org/doi/pdf/10.3233/SHTI190703?download=true,0,0
15,15,https://doi.org/10.1055/s-0038-1667331,Appl. Clin. Inform.,adopt electron dental record examin influenc practic characterist adopt one state,2018,object compar medicin less research focus adopt rate factor contribut adopt electron dental record edr certifi electron health record ehr field dentistri ran two multivari model edr adopt certificationcap ehr adopt determin environment organiz factor associ adopt method conduct telephon survey 10item questionnair use disproportion stratifi sampl procedur 149 dental clinic tennesse 2017 measur adopt dental inform technolog edr certificationcap ehr practic characterist includ region rural specialti practic size use binomi logist regress model determin associ adopt predictor variabl result total 77 survey dental clinic tennesse adopt type edr system definit certif capabl appli adopt rate dental clinic drop 58 binomi logist regress model effect rural special practic size likelihood clinic would adopt ehr product statist signific chisquar 3 1241 p 00061 three predictor variabl special practic size signific odd adopt ehr 67 lower specialist general dentist clinic two practic dentist associ much greater likelihood adopt ehrcap system adjust odd ratio 309 p 0009 conclus find studi indic moder high level overal dental adopt howev adopt rate dental clinic remain lower observ officebas physician practic medicin special practic size signific predictor ehrcap system adopt effort increas ehr adopt dentistri mind potenti dispar smaller practic dental specialti generalist,10.1055/s-0038-1667331,Medicine Computer Science,Posterior Pituitary Hormones,https://dl.acm.org/doi/pdf/10.1055/s-0038-1667331?download=true,6,0
16,16,https://doi.org/10.1055/s-0038-1668088,Appl. Clin. Inform.,feasibl electron health recordbas trigger detect dental advers event,2018,background quantifi character harm patient suffer dental chair mine data electron health record ehr dental institut current deploy random audit chart use local develop definit identifi patient safeti incid instead select patient chart use trigger assess calibr review may effici identifi dental advers event ae object goal develop test ehrbas trigger four academ institut find dental ae defin moder sever physic harm due dental treatment method use iter consensusbas process develop 11 ehrbas trigger identifi dental ae two dental expert institut independ review sampl trigger chart use common ae definit classif system expert panel provid second level review confirm ae identifi site review calcul perform trigger identifi strategi improv result total 100 ae identifi 10 11 trigger 57 case pain common ae identifi follow infect hard tissu damag posit predict valu ppv trigger rang 0 029 best perform trigger develop identifi infect ppv 029 allergi ppv 023 fail implant ppv 021 nerv injuri ppv 019 ae 90 categor temporari moderatetosever harm e2 remaind perman moderatetosever harm g2 conclus ehrbas trigger promis approach unearth ae among dental patient compar manual audit random chart data dental ehr appear suffici structur allow use trigger pain common ae type follow infect hard tissu damag,10.1055/s-0038-1668088,Medicine Computer Science,Silo (dataset),https://dl.acm.org/doi/pdf/10.1055/s-0038-1668088?download=true,9,0
17,17,https://doi.org/10.1111/joor.12655,Journal of oral rehabilitation,differenti diagnosi jaw pain use informat technolog,2018,studi aim deduc evidencebas clinic clue differenti temporomandibular disord tmdmimick condit genuin tmd text mine use natur languag process nlp recurs partit compar medic record 29 patient diagnos tmdmimick condit 290 patient diagnos genuin tmd chief complaint medic histori preprocess via nlp compar frequenc word usag addit recurs partit use deduc optim size mouth open could differenti tmdmimick genuin tmd group preval tmdmimick condit even distribut across age group show near equal gender ratio signific differ genuin tmd tmdmimick condit caus inflamm infect hereditari diseas neoplasm patient tmdmimick condit frequent use mouth open limit p 001 less common use word nois p 001 temporomandibular joint p 001 patient genuin tmd diagnost classif tree basi recurs partit suggest 120 mm comfort mouth open 265 mm maximum mouth open deduc optim mouthopen cutoff size combin analys perform base text mine clinic examin data predict perform model 966 690 sensit 993 specif predict tmdmimick condit conclus studi show ai technologybas method could appli field differenti diagnosi orofaci pain disord,10.1111/joor.12655,Medicine,Sodium monofluorophosphate 0.0076 MG/MG Toothpaste,https://dl.acm.org/doi/pdf/10.1111/joor.12655?download=true,6,0
18,18,https://doi.org/10.21815/JDE.018.135,Journal of dental education,trend firstyear dental student inform technolog knowledg use result us dental school 2009 2012 2017,2018,dental student must skill use applic inform technolog studi use knowledg among us dental student aim studi retrospect analyz survey data regard use knowledg collect firstyear dental student one us dental school 2009 2012 2017 data collect anonym survey student part d1 cours call informat evalu dental literatur student particip survey year respons rate 100 annual number particip 80 2009 90 2012 97 2017 total 267 respond student report frequent access internet resourc multipl time per day frequenc use increas time princip access via smartphon student report feel comfort higher educ applic learn manag system computer test howev despit frequent use student report low level knowledg secur three year survey data show secur knowledg declin time find implic dental educ includ need method train student protect person data patient,10.21815/JDE.018.135,Medicine Psychology,Document completion status - Documented,https://dl.acm.org/doi/pdf/10.21815/JDE.018.135?download=true,3,0
19,19,https://doi.org/10.1055/s-0039-1681088,Methods of information in medicine,leverag electron dental record data classifi patient base smoke intens,2018,background smoke establish risk factor oral diseas therefor dental clinician routin assess record patient detail smoke status research success extract smoke histori electron health record ehr use text mine method howev could retriev patient smoke intens due limit avail ehr presenc detail smoke inform electron dental record edr often separ section allow retriev inform less preprocess object determin patient detail smoke status base smoke intens edr method first author creat refer standard 3296 uniqu patient smoke histori edr classifi patient base smoke intens next train three machin learn classifi support vector machin random forest naïv bay use train set 2176 evalu perform test set 1120 use precis p recal r fmeasur f final appli best classifi classifi smoke status addit 3114 patient smoke histori result support vector machin perform best classifi patient smoker nonsmok unknown p r f 98 intermitt smoker p 95 r 98 f 96 past smoker p r f 89 light smoker p r f 87 smoker unknown intens p 76 r 86 f 81 intermedi smoker p 90 r 88 f 89 perform moder differenti heavi smoker p 90 r 44 f 60 edr could valuabl sourc obtain patient detail smoke inform conclus edr data could serv valuabl sourc obtain patient detail smoke inform base smoke intens may readili avail ehr,10.1055/s-0039-1681088,Medicine,Patients,https://dl.acm.org/doi/pdf/10.1055/s-0039-1681088?download=true,5,0
20,20,https://doi.org/10.1136/bmjopen-2016-012528,BMJ Open,link medic dental health record data partnership rochest epidemiolog project,2017,purpos purpos project expand rochest epidemiolog project rep medic record linkag infrastructur includ data oral healthcar provid goal linkag facilit research studi examin role oral health overal health qualiti life particip eight dental practic join rep 2011 2015 rep studi team link oral healthcar inform medic record inform local healthcar provid 31 750 particip resid olmst counti minnesota overal 17 718 56 particip women 14 318 45 40 year age older 26 090 82 white find date first studi use new inform recent complet resourc use determin whether 2007 guidelin american heart associ affect prescript rate antibiot patient moderaterisk cardiac condit prior dental procedur rep infrastructur use identifi seri patient diagnos moderaterisk cardiac condit local healthcar provid n1351 abstract antibiot prescript dental record pre2007 post2007 antibiot prescript prior dental procedur declin 62 7 follow chang guidelin futur plan dental data particip practition updat annual basi new dental data link patient medic record addit continu invit new dental practic particip rep final continu use research infrastructur investig associ oral medic health present find confer scientif literatur,10.1136/bmjopen-2016-012528,Medicine,"Dental Records,Deciduous tooth,Edrophonium,Tooth root structure,Structure of permanent tooth,Behavior,General Practice, Dental,Odontogenic Tissue,Insurance, Dental,Supernumerary,Pulp Canals,Forty Nine,Posterior Pituitary Hormones,Silo (dataset),Sodium monofluorophosphate 0.0076 MG/MG Toothpaste,Document completion status - Documented,Patients",https://dl.acm.org/doi/pdf/10.1136/bmjopen-2016-012528?download=true,10,0
21,21,https://doi.org/10.1111/eje.12203,European journal of dental education : official journal of the Association for Dental Education in Europe,inform retriev critic apprais knowledg evidence‐bas dentistri among finnish dental student,2017,background one core skill compet dentist abil search analys highqual evid problem understand basic aspect knowledgebas inform may imped implement clinic practic examin finnish dental student acquir scientif inform familiar method evalu scientif evid relat clinic question method fifthyear dental student n 120 three univers finland receiv selfadminist questionnair result three common use sourc inform colleagu commerci health gate portal dental practition person lectur note although student rare read scientif journal find possess least passabl even good skill literatur retriev three question relat apprais evid dentistri reveal student knowledg evidencebas dentistri inadequ critic evalu clinic research find conclus student seem lack knowledg key methodolog evidencebas term present curricula dental school fail encourag student search acquir knowledg wider patient univers respons teach dentist various method critic apprais cope scientif inform,10.1111/eje.12203,Medicine,,https://dl.acm.org/doi/pdf/10.1111/eje.12203?download=true,10,0
22,22,https://doi.org/10.1016/j.ijmedinf.2017.08.007,Int. J. Medical Informatics,perceiv critic success factor electron health record system implement dental clinic context organis manag perspect,2017,background electron health record ehr make health care effici improv qualiti care make patient medic histori access howev littl known factor contribut success ehr implement dental clinic object articl aim identifi perceiv critic success factor ehr system implement dental clinic context method use ground theori analys data collect context brunei nation ehr healthcar inform manag system bruhim data analysi follow stage open axial select code result six perceiv critic success factor emerg usabl system emerg behaviour requir analysi train chang manag project organis studi identifi mismatch endus product ownervendor perspect discuss workflow chang signific challeng clinician confid use particular system offer limit modular configur recommend made parti involv healthcar inform system implement manag chang process agre system goal function wider consensu debat particip support strategi realis common commit,10.1016/j.ijmedinf.2017.08.007,Medicine Computer Science,Precipitating Factors,https://dl.acm.org/doi/pdf/10.1016/j.ijmedinf.2017.08.007?download=true,26,0
23,23,https://doi.org/10.1016/j.adaj.2017.01.026,Journal of the American Dental Association,medic care provid perspect dental inform need electron health record,2017,background author conduct studi identifi relev patient dental inform medicaldent integr electron health record iehr necessari medic care provid inform holist treatment method author collect input divers sampl 65 particip larg region health system repres 13 medic specialti administr unit author collect feedback particip 11 focus group session two independ review analyz focus group transcript identifi major minor theme result author identifi 336 385 annot medic care provid code relev annot strong support relev clinic practic align 18 major themat categori top 6 categori communic appoint system design medic treatment plan dental alert conclus studi particip identifi dental data highest relev medic care provid recommend implement userfriend access dental data iehr crucial holist care deliveri practic implic identif patient dental inform relev medic care provid inform strategi improv integr inform medicaldent iehr,10.1016/j.adaj.2017.01.026,Medicine,Electronic Health Records,https://dl.acm.org/doi/pdf/10.1016/j.adaj.2017.01.026?download=true,18,0
24,24,https://doi.org/10.3121/cmr.2017.1380,Clinical Medicine & Research,updat electron dental record clinic comput adopt among dental practic unit state,2017,studi sought recharacter trend factor affect electron dental record edr technolog adopt dental practic impact health inform technolog econom clinic health hitech act adopt rate 2012 39question survey dissemin nation 3 month use novel statisticallymodel approach inform earli respons rate achiev predetermin sampl edr adopt rate clinic support 52 adopt rate higher among 1 younger dentist 2 dentist ≤ 15 year practic 3 femal 4 group practic top barrier adopt edr costexpens costbenefit ratio electron format convers poor edr usabl awar feder hitech incent program low rate chairsid comput implement 72 adopt edr dental offic unit state higher 2012 electron health record adopt rate medic offic driven hitech program patient portal adopt among dental practic unit state remain low,10.3121/cmr.2017.1380,Medicine,Pain,https://dl.acm.org/doi/pdf/10.3121/cmr.2017.1380?download=true,14,0
25,25,https://doi.org/10.1016/j.adaj.2017.04.017,Journal of the American Dental Association,evalu qualiti dental care among patient diabet adapt test dental qualiti measur electron health record,2017,background patient diabet increas risk develop oral complic annual dental examin endors prevent strategi author evalu feasibl valid implement autom electron health record ehrbas dental qualiti measur determin whether patient diabet receiv evalu method author select dental qualiti allianc measur develop claim data adapt specif ehr autom queri identifi patient diabet across 4 dental institut author manual review subsampl chart evalu queri perform assess initi ehr measur author defin test revis ehr measur captur better oral care receiv patient diabet result initi revis measur author use ehr autom queri identifi 12960 13221 patient diabet respect report year variat measur score across site greater initi measur rang 364713 revis measur rang 788881 autom queri perform well 93 higher sensit specif posit negat predict valu measur conclus result suggest autom ehrbas queri use success measur qualiti oral health care deliv patient diabet author also found use rich data avail ehr may help estim qualiti care better reli claim data practic implic detail clinic patientlevel data dental ehr may use dentist evalu qualiti dental care provid patient diabet,10.1016/j.adaj.2017.04.017,Medicine,soft tissue,https://dl.acm.org/doi/pdf/10.1016/j.adaj.2017.04.017?download=true,14,0
26,26,https://doi.org/10.1016/j.adaj.2016.06.005,Journal of the American Dental Association,data scienc nation institut dental craniofaci research chang dental practic,2016,none,10.1016/j.adaj.2016.06.005,Medicine,Classification,https://dl.acm.org/doi/pdf/10.1016/j.adaj.2016.06.005?download=true,4,0
27,27,https://doi.org/10.4338/ACI-2015-09-LE-0124,Appl. Clin. Inform.,ehr teeth,2016,correspond elsbeth kalenderian dds mph phd chair oral health polici epidemiolog chief qualiti harvard dental center harvard school dental medicin 188 longwood avenu reb 206 boston 02115 telephon 617–432–1455 mobil 617–947–7645 appl clin inform 2016 7 425–429 httpdxdoiorg104338aci201509le0124 receiv octob 9 2015 accept march 6 2016 publish may 25 2016 citat kalenderian e halamka jd spallek h ehr teeth appl clin inform 2016 7 425–429 httpdxdoiorg104338aci201509le0124 letter editor,10.4338/ACI-2015-09-LE-0124,Computer Science Medicine,Adverse event,https://dl.acm.org/doi/pdf/10.4338/ACI-2015-09-LE-0124?download=true,11,0
28,28,https://doi.org/10.4338/ACI-2015-11-RA-0150,Appl. Clin. Inform.,explor dental provid workflow electron dental record environ,2016,background workflow defin predefin set work step partial order step environ achiev expect outcom studi investig workflow provid dental offic import understand interact dental provid exist technolog point care assess breakdown workflow could contribut better technolog design object studi object assess electron dental record edr workflow use time motion methodolog order identifi breakdown opportun process improv method time motion methodolog use studi humancomput interact workflow dental provid edr four dental center larg healthcar organ data collect tool develop captur workflow dental provid staff interact edr initi plan emerg patient visit front desk qualit quantit analysi conduct observ data result breakdown workflow identifi post charg view radiograph eprescrib interact patient schedul edr interact time signific differ dentist dental assist 620 min vs 1057 min p 0013 dentist dental hygienist 620 min vs 936 min p 0003 conclus averag dentist spent far less time dental assist dental hygienist data record within edr,10.4338/ACI-2015-11-RA-0150,Computer Science Medicine,Traumatic injury,https://dl.acm.org/doi/pdf/10.4338/ACI-2015-11-RA-0150?download=true,3,0
29,29,https://doi.org/10.1016/j.jebdp.2016.07.001,The journal of evidence-based dental practice,clinic document dental care era electron health record use,2016,background although complet accur clinic record guarante provis excel dental care provid opportun evalu qualiti care provid howev lack univers accept document standard incomplet recordkeep practic unfriend electron health care record ehr user interfac factor allow persist poor dental patient record keep method use 2 differ methodsa valid survey 2round delphi processinvolv 2 appropri differ set particip explor dental clinic record contain frequenc updat clinic entri result closedend survey question openend delphi process question respond signific degre agreement clinic entri compon adequ clinic record howev varianc frequent clinic entri updat summari dental provid agre complet accur record keep essenti item histori examin find diagnosi radiograph treatment plan consent clinic note document howev seem univers agreement frequent item record clinic implic dental profess move toward preval use electron health care record issu standard interoper becom ever press settl issu standard includ record document must begin guidelinecr dental profession bodi need clear defin dissemin standard everyday dentist ultim ensur standard met kept,10.1016/j.jebdp.2016.07.001,Medicine,common types,https://dl.acm.org/doi/pdf/10.1016/j.jebdp.2016.07.001?download=true,7,0
